Species,Year,Variable,Catch,TACC,Dollar Value (millions)
Alfonsino,1996,Asset value,0,2721.9,20.3
Alfonsino,1997,Asset value,0,2721.1,32.6
Alfonsino,1998,Asset value,0,2727,31.2
Alfonsino,1999,Asset value,0,2727.5,31.4
Alfonsino,2000,Asset value,0,2726.7,17.8
Alfonsino,2001,Asset value,0,2727,17.8
Alfonsino,2002,Asset value,2904.2,2995.7,24.2
Alfonsino,2003,Asset value,2926.8,2995.7,36.1
Alfonsino,2004,Asset value,2583.9,2995.7,35.5
Alfonsino,2005,Asset value,3052.5,2995.7,37.5
Alfonsino,2006,Asset value,2903.4,2995.7,33.9
Alfonsino,2007,Asset value,2676.7,2995.7,36.6
Alfonsino,2008,Asset value,2748.3,2995.7,30.6
Alfonsino,2009,Asset value,2665.2,2995.7,32.3
Alfonsino,2010,Asset value,2865.2,2995.7,32.5
Alfonsino,2011,Asset value,2835.7,2995.7,36.6
Alfonsino,2012,Asset value,2699.3,2995.7,34.6
Alfonsino,2013,Asset value,2679,2995.7,41.3
Alfonsino,2014,Asset value,2567.8,2995.7,52.2
Alfonsino,2015,Asset value,2693.3,2995.7,63
Alfonsino,2016,Asset value,2728.9,2995.7,63.2
Alfonsino,2017,Asset value,2651.8,2995.7,80.3
Alfonsino,2018,Asset value,2531,2995.7,66.8
All species,1996,Asset value,0,635804.1,2740.2
All species,1997,Asset value,0,645066.7,2725.6
All species,1998,Asset value,0,642339.6,2285.3
All species,1999,Asset value,0,659318.1,2599.4
All species,2000,Asset value,0,717348.5,2641.4
All species,2001,Asset value,0,686818.1,3097
All species,2002,Asset value,475146.3,645753.1,3322.1
All species,2003,Asset value,495284.3,664516.5,3743
All species,2004,Asset value,475901.5,643039.5,4559.9
All species,2005,Asset value,469490.8,595176.8,4320
All species,2006,Asset value,452408.8,595469.4,4018.8
All species,2007,Asset value,441711.1,590548,3872.8
All species,2008,Asset value,401016.4,567723.7,3935.4
All species,2009,Asset value,384859.5,572260.1,4125.3
All species,2010,Asset value,398244.2,600652.3,4801.5
All species,2011,Asset value,403719.4,612823.5,4587.5
All species,2012,Asset value,413326.8,618364.1,5020.1
All species,2013,Asset value,397000.3,618366.6,4994.5
All species,2014,Asset value,414139.5,643193.2,5553.4
All species,2015,Asset value,426644.6,663730.5,6734.1
All species,2016,Asset value,400491.6,646127.2,7422.4
All species,2017,Asset value,400570.8,592452.2,7702.6
All species,2018,Asset value,396747.1,589241.3,8751.5
Anchovy,2003,Asset value,8.3,560,1
Anchovy,2004,Asset value,14.5,560,1.1
Anchovy,2005,Asset value,11.7,560,1.2
Anchovy,2006,Asset value,10,560,0.1
Anchovy,2007,Asset value,2.6,560,0.1
Anchovy,2008,Asset value,0.4,560,0.1
Anchovy,2009,Asset value,1.7,560,0.1
Anchovy,2010,Asset value,12.5,560,0.1
Anchovy,2011,Asset value,1.2,560,0.1
Anchovy,2012,Asset value,0.7,560,
Anchovy,2013,Asset value,0.5,560,0
Anchovy,2014,Asset value,2,560,
Anchovy,2015,Asset value,1,560,
Anchovy,2016,Asset value,12.6,560,0.2
Anchovy,2017,Asset value,9.4,560,0.1
Anchovy,2018,Asset value,0.2,560,0.1
Arrow Squid,1996,Asset value,0,123332.3,166.6
Arrow Squid,1997,Asset value,0,123332.3,140
Arrow Squid,1998,Asset value,0,123332.3,76.3
Arrow Squid,1999,Asset value,0,127332.3,136.3
Arrow Squid,2000,Asset value,0,127332.3,132.3
Arrow Squid,2001,Asset value,0,127332.3,80.5
Arrow Squid,2002,Asset value,48173.1,127332.4,57.2
Arrow Squid,2003,Asset value,43719.4,127332.4,114.4
Arrow Squid,2004,Asset value,84962.3,127332.4,306.4
Arrow Squid,2005,Asset value,86074.5,127332.4,169.2
Arrow Squid,2006,Asset value,72418.4,127332.4,341.5
Arrow Squid,2007,Asset value,70252.7,127332.4,175
Arrow Squid,2008,Asset value,56035.2,127332.4,108.1
Arrow Squid,2009,Asset value,46310.9,127332.4,121.6
Arrow Squid,2010,Asset value,32436,127332.4,200.1
Arrow Squid,2011,Asset value,37304.4,127332.4,146.3
Arrow Squid,2012,Asset value,35207,127332.4,151.8
Arrow Squid,2013,Asset value,24636.4,127332.4,78.8
Arrow Squid,2014,Asset value,15053.2,127332.4,144.9
Arrow Squid,2015,Asset value,16310.1,127332.4,183.1
Arrow Squid,2016,Asset value,43126.7,127332.4,99.9
Arrow Squid,2017,Asset value,18462.1,82120.3,132.8
Arrow Squid,2018,Asset value,23070.4,82120.3,132.5
Barracouta,1996,Asset value,0,33202.1,46.3
Barracouta,1997,Asset value,0,34232.6,35.2
Barracouta,1998,Asset value,0,34232.6,28.5
Barracouta,1999,Asset value,0,32421,38.6
Barracouta,2000,Asset value,0,32421,39
Barracouta,2001,Asset value,0,32421,27.8
Barracouta,2002,Asset value,21600.2,32672.5,37.9
Barracouta,2003,Asset value,25036.2,32672.5,33.3
Barracouta,2004,Asset value,22459.1,32672.5,47
Barracouta,2005,Asset value,26932,32672.5,47.6
Barracouta,2006,Asset value,27881.7,32672.5,44.9
Barracouta,2007,Asset value,29617.6,32672.5,38.7
Barracouta,2008,Asset value,27968.5,32672.5,41.5
Barracouta,2009,Asset value,26445,32672.5,42.3
Barracouta,2010,Asset value,28450.7,32672.5,40
Barracouta,2011,Asset value,26940,32672.5,50.4
Barracouta,2012,Asset value,26441.4,32672.5,45
Barracouta,2013,Asset value,24972,32672.5,47.7
Barracouta,2014,Asset value,26314.3,32672.5,55.3
Barracouta,2015,Asset value,24327.7,32672.5,66.7
Barracouta,2016,Asset value,21511,32672.5,70.8
Barracouta,2017,Asset value,28169.6,33402.5,73
Barracouta,2018,Asset value,29073,33402.5,79.6
Bigeye Tuna,2005,Asset value,162.3,714,28.8
Bigeye Tuna,2006,Asset value,177.4,714,12.9
Bigeye Tuna,2007,Asset value,196.1,714,8.6
Bigeye Tuna,2008,Asset value,140.5,714,5
Bigeye Tuna,2009,Asset value,236.6,714,1.1
Bigeye Tuna,2010,Asset value,161.2,714,7
Bigeye Tuna,2011,Asset value,181.3,714,7
Bigeye Tuna,2012,Asset value,157.2,714,2.4
Bigeye Tuna,2013,Asset value,115.9,714,0.4
Bigeye Tuna,2014,Asset value,116.5,714,0.4
Bigeye Tuna,2015,Asset value,83.2,714,0.6
Bigeye Tuna,2016,Asset value,172.8,714,0.6
Bigeye Tuna,2017,Asset value,104.9,714,0.6
Bigeye Tuna,2018,Asset value,136.7,714,0.6
Black Cardinal Fish,1999,Asset value,0,3666,5.9
Black Cardinal Fish,2000,Asset value,0,3670,0.5
Black Cardinal Fish,2001,Asset value,0,3670,5.3
Black Cardinal Fish,2002,Asset value,2349.8,3670,6
Black Cardinal Fish,2003,Asset value,2721.2,3670,8.7
Black Cardinal Fish,2004,Asset value,1724.9,3670,8.5
Black Cardinal Fish,2005,Asset value,1479.7,3670,15.8
Black Cardinal Fish,2006,Asset value,2901,3670,6.1
Black Cardinal Fish,2007,Asset value,2215.3,3751,5.9
Black Cardinal Fish,2008,Asset value,1132.6,3751,4.7
Black Cardinal Fish,2009,Asset value,1455.9,3751,4.4
Black Cardinal Fish,2010,Asset value,1164.7,3148,3.8
